Sl. No.,Crime Head,Cases Pending Investigation from Previous Year - Col.(3),Cases Reported during the year - Col.(4),Cases Reopened for Investigation - Col.(5),Total Cases for Investigation (Col.3+Col.4+Col.5) - Col.(6),Cases Not Investigated Under 157_1_b CRPC - Col.(7),Cases Transferred to Other State or Agency - Col.(8),Cases Withdrawn by the Govt during Investigation - Col.(9),Final Report - Cases Ended as FR Non Cognizable - Col.(10),Final Report - Cases Ended as Final Report False - Col.(11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col.(12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col.(13),Final Report - Cases Abated during Investigation - Col.(14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col.(15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col.(16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col.(17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col.(18),Total Cases Disposed Off by Police (Col.7+8+15+18) - Col.(19),Cases Quashed at Investigation Stage - Col.(20),Cases Stayed at Investigation Stage - Col.(21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col.(22),Chargesheeting Rate (Col.18/19*100) - Col.(23),Pendency Percentage (Col.22/6*100) - Col.(24)
1,Tampering computer source documents,311,65,0,376,0,1,0,0,2,3,140,0,145,30,31,61,207,0,1,169,29.5,44.9
2,Computer Related Offences,27964,23894,27,51885,0,39,0,14,215,740,18783,37,19789,3537,3667,7204,27032,11,5,24842,26.6,47.9
2.1,Computer Related Offences,4060,3867,3,7930,0,0,0,0,31,101,2858,2,2992,638,878,1516,4508,1,1,3421,33.6,43.1
2.1A,Ransom-ware,374,958,0,1332,0,0,0,0,3,21,804,0,828,67,148,215,1043,0,1,289,20.6,21.7
2.1B,Offences other than Ransom-ware,3686,2909,3,6598,0,0,0,0,28,80,2054,2,2164,571,730,1301,3465,1,0,3132,37.5,47.5
2.2,Dishonestly receiving stolen computer resource or communication device,506,358,0,864,0,0,0,0,3,25,128,0,156,63,73,136,292,2,0,570,46.6,66
2.3,Identity Theft,11749,5740,1,17490,0,9,0,0,55,181,7771,0,8007,1773,684,2457,10473,2,0,7015,23.5,40.1
2.4,Cheating by personation by using computer resource,10894,13506,23,24423,0,28,0,14,121,420,7632,35,8222,991,1912,2903,11153,6,2,13264,26,54.3
2.5,Violation of Privacy,755,423,0,1178,0,2,0,0,5,13,394,0,412,72,120,192,606,0,2,572,31.7,48.6
3,Cyber Terrorism,42,12,0,54,0,0,0,0,0,2,12,0,14,0,5,5,19,0,0,35,26.3,64.8
4,Publication/transmission of obscene / sexually explicit act in electronic form,7453,6896,0,14349,0,8,0,7,130,401,3009,19,3566,1176,2424,3600,7174,6,2,7169,50.2,50
4.1,Publishing or transmitting obscene material in Electronic Form,3060,2755,0,5815,0,1,0,4,47,150,1423,1,1625,481,875,1356,2982,2,1,2831,45.5,48.7
4.2,Publishing or transmitting of material containing Sexually explicit act in electronic form,1905,1931,0,3836,0,3,0,3,36,130,640,0,809,316,866,1182,1994,1,1,1841,59.3,48
4.3,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,820,1166,0,1986,0,3,0,0,7,13,257,1,278,176,348,524,805,0,0,1181,65.1,59.5
4.4,Preservation and retention of information by intermediaries,57,41,0,98,0,0,0,0,1,5,24,0,30,4,10,14,44,1,0,53,31.8,54.1
4.5,Other Sections 67 IT Act,1611,1003,0,2614,0,1,0,0,39,103,665,17,824,199,325,524,1349,2,0,1263,38.8,48.3
5,Interception or Monitoring or decryption of Information,7,1,0,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7,100,87.5
6,Un-authorized access/attempt to access to protected computer system,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,100
7,Abetment to Commit Offences,3,4,0,7,0,0,0,0,0,0,2,0,2,1,0,1,3,0,0,4,33.3,57.1
8,Attempt to Commit Offences,14,18,0,32,0,0,0,0,0,0,4,0,4,1,5,6,10,0,0,22,60,68.8
9,Other Sections of IT Act,1390,1017,0,2407,0,0,0,2,37,99,529,187,854,251,274,525,1379,0,0,1028,38.1,42.7
Total Offences under I.T. Act,Total Offences under I.T. Act,37188,31908,27,69123,0,48,0,23,384,1245,22479,243,24374,4996,6407,11403,35825,17,8,33281,31.8,48.1
10,Abetment of Suicide (Online),8,24,0,32,0,0,0,0,1,0,1,0,2,1,6,7,9,0,0,23,77.8,71.9
11,Cyber Stalking/Bullying of Women/Children,1396,1471,2,2869,0,13,0,0,34,26,241,0,301,243,598,841,1155,4,1,1710,72.8,59.6
12,Data theft,222,97,0,319,0,0,0,0,0,11,60,0,71,18,20,38,109,0,0,210,34.9,65.8
13,Fraud,17803,17470,910,36183,0,38,0,2,75,847,10517,22,11463,1442,1949,3391,14892,2,1,21289,22.8,58.8
13.1,Credit Card/Debit Card,1754,1665,488,3907,0,0,0,0,0,60,826,0,886,213,297,510,1396,0,0,2511,36.5,64.3
13.2,ATMs,3575,1690,300,5565,0,4,0,0,5,227,953,0,1185,291,304,595,1784,0,0,3781,33.4,67.9
13.3,Online Banking Fraud,6871,6491,30,13392,0,33,0,1,17,364,3796,1,4179,415,517,932,5144,1,0,8247,18.1,61.6
13.4,OTP Frauds,2080,2910,60,5050,0,0,0,0,7,89,2108,6,2210,145,230,375,2585,1,0,2464,14.5,48.8
13.5,Others,3523,4714,32,8269,0,1,0,1,46,107,2834,15,3003,378,601,979,3983,0,1,4286,24.6,51.8
14,Cheating,9717,10509,62,20288,0,2,0,0,77,658,6009,266,7010,570,720,1290,8302,4,0,11982,15.5,59.1
15,Forgery,456,224,1,681,0,0,0,0,4,9,95,0,108,68,66,134,242,1,0,438,55.4,64.3
16,Defamation/Morphing,60,61,0,121,0,0,0,0,1,0,20,0,21,8,18,26,47,0,0,74,55.3,61.2
17,Fake Profile,203,157,0,360,0,0,0,0,3,4,68,0,75,20,22,42,117,0,0,243,35.9,67.5
18,Counterfeiting,22,2,0,24,0,0,0,0,0,0,2,0,2,1,0,1,3,0,0,21,33.3,87.5
18.1,Currency,22,2,0,24,0,0,0,0,0,0,2,0,2,1,0,1,3,0,0,21,33.3,87.5
18.2,Stamps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,Cyber Blackmailing/Threatening,577,696,0,1273,0,0,0,1,67,32,245,1,346,69,146,215,561,0,3,712,38.3,55.9
20,Fake News on Social Media,497,230,0,727,0,0,0,0,11,12,54,1,78,32,96,128,206,0,0,521,62.1,71.7
21,Other Offences,3390,2857,0,6247,0,17,0,2,95,141,792,2,1032,419,867,1286,2335,2,5,3910,55.1,62.6
Total Offences under IPC,Total Offences under IPC,34351,33798,975,69124,0,70,0,5,368,1740,18104,292,20509,2891,4508,7399,27978,13,10,41133,26.4,59.5
22,Gambling Act (Online Gambling),42,37,0,79,0,0,0,0,0,0,6,0,6,4,25,29,35,0,0,44,82.9,55.7
