YEAR,Cases Pending Investigation from Previous Year (Col.4),CasesReported,Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during investigation (Col.10),Fi0l Report - Cases Ended as FR Non Cognizable (Col.11),Fi0l Report - Cases Ended as Fi0l Report False (Col.12),Fi0l Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Fi0l Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Fi0l Report - Cases Abated during Investigation (Col.15),Fi0l Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percent- age (Col.25=Col.23/ Col.7) *100,Category (Col.2)_Offences under IPC,Category (Col.2)_Offences under SLL,Category (Col.2)_Total Offences under I.T. Act,Category (Col.2)_Total Offences under IPC,Category (Col.2)_Total Offences under SLL,Crime Head (Col.3)_Abetment of Suicide (Online),Crime Head (Col.3)_Abetment to Commit Offences,Crime Head (Col.3)_Attempt to Commit Offences,Crime Head (Col.3)_Cheating,Crime Head (Col.3)_Cheating by perso0tion by using computer resource,Crime Head (Col.3)_Computer Related Offences,Crime Head (Col.3)_Copy Right Act,Crime Head (Col.3)_Counterfeiting,Crime Head (Col.3)_Credit Card/Debit Card,Crime Head (Col.3)_Currency,Crime Head (Col.3)_Cyber Blackmailing/Threatening,Crime Head (Col.3)_Cyber Stalking/Bullying of Women/Children,Crime Head (Col.3)_Cyber Terrorism,Crime Head (Col.3)_Data theft,Crime Head (Col.3)_Defamation/Morphing,Crime Head (Col.3)_Dishonestly receiving stolen computer resource or communication device,Crime Head (Col.3)_Fake News on Social Media,Crime Head (Col.3)_Fake News on Social Media ,Crime Head (Col.3)_Fake Profile,Crime Head (Col.3)_Forgery,Crime Head (Col.3)_Fraud,Crime Head (Col.3)_Gambling Act (Online Gambling),Crime Head (Col.3)_Identity Theft,Crime Head (Col.3)_Interception or Monitoring or decryption of Information,Crime Head (Col.3)_Lotteries Act (Online Lotteries),Crime Head (Col.3)_OTP Frauds,Crime Head (Col.3)_Offences other than Ransom-ware,Crime Head (Col.3)_Online Banking Fraud,Crime Head (Col.3)_Other Offences,Crime Head (Col.3)_Other SLL Crimes,Crime Head (Col.3)_Other Sections 67 IT Act,Crime Head (Col.3)_Other Sections of IT Act,Crime Head (Col.3)_Others,Crime Head (Col.3)_Preservation and retention of information by intermediaries,Crime Head (Col.3)_Publication/transmission of obscene / sexually explicit act in electronic form,Crime Head (Col.3)_Publication/transmission of obscene/sexually explicit act in electronic form,Crime Head (Col.3)_Publishing or transmitting obscene material in Electronic Form,Crime Head (Col.3)_Publishing or transmitting of material containing Sexually explicit act in electronic form,Crime Head (Col.3)_Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,Crime Head (Col.3)_Ransom-ware,Crime Head (Col.3)_Ransomware,Crime Head (Col.3)_Stamps,Crime Head (Col.3)_Tampering Computer Source Documents,Crime Head (Col.3)_Tampering computer source documents,Crime Head (Col.3)_Trade Marks Act,Crime Head (Col.3)_Un-Authorized Access/Attempt to Access to Protected Computer System,Crime Head (Col.3)_Un-authorized access/attempt to  access to protected computer system,Crime Head (Col.3)_Un-authorized access/attempt to access to protected computer system,Crime Head (Col.3)_Violation of Privacy
2017,80,233,0,313,0,0,0,0,5,2,91,0,98,24,30,54,152,0,0,161,35.5,51.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,6742,10108,0,16850,0,47,3,5,132,419,4377,84,5017,848,1243,2091,7155,4,8,9688,29.2,57.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2463,3508,0,5971,0,7,0,3,52,93,1471,29,1648,413,667,1080,2735,2,5,3234,39.5,54.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,249,300,0,549,0,0,0,3,5,17,110,0,135,92,65,157,292,2,0,255,53.8,46.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,2214,3208,0,5422,0,7,0,0,47,76,1361,29,1513,321,602,923,2443,0,5,2979,37.8,54.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,162,360,0,522,0,0,0,2,6,20,125,0,153,31,64,95,248,2,0,272,38.3,52.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1534,3724,0,5258,0,23,2,0,27,119,1217,9,1372,207,220,427,1822,0,1,3434,23.4,65.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2373,2269,0,4642,0,16,1,0,38,178,1502,46,1764,167,217,384,2164,0,1,2477,17.7,53.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,210,247,0,457,0,1,0,0,9,9,62,0,80,30,75,105,186,0,1,271,56.5,59.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,14,13,0,27,0,0,0,0,0,0,7,0,7,1,0,1,8,0,0,19,12.5,70.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1131,1768,1,2900,0,10,1,1,45,137,352,0,535,190,452,642,1187,3,2,1709,54.1,58.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,451,948,1,1400,0,5,0,0,19,55,194,0,268,120,252,372,645,2,1,753,57.7,53.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
